filepath_stem,audio_path,title,mbid,raga,taal,form,length_ms,metadata_source,concert_folder,midi_path
A V K Rajasimhan at Arkay by Angarai V K Rajasimhan/Shloka Sri Ramachandra Shrita Parijata/Shloka Sri Ramachandra Shrita Parijata,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/A V K Rajasimhan at Arkay by Angarai V K Rajasimhan/Shloka Sri Ramachandra Shrita Parijata/Shloka Sri Ramachandra Shrita Parijata.mp3.mp3,Shloka Sri Ramachandra Shrita Parijata,c6756bca-6955-4bc8-909c-d431d1e44899,Shloka Sri Ramachandra Shrita Parijata,,,28000.0,title_fallback,A V K Rajasimhan at Arkay by Angarai V K Rajasimhan,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_000_Shloka_Sri_Ramachandra_Shrita_.mid
A V K Rajasimhan at Arkay by Angarai V K Rajasimhan/Nera Nammiti/Nera Nammiti,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/A V K Rajasimhan at Arkay by Angarai V K Rajasimhan/Nera Nammiti/Nera Nammiti.mp3.mp3,Nera Nammiti,d1b2c8f8-47e6-4eed-a8e3-a2fa55fd73d5,Nera Nammiti,,,549000.0,title_fallback,A V K Rajasimhan at Arkay by Angarai V K Rajasimhan,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_001_Nera_Nammiti.mid
Akkarai Sisters at Arkay by Akkarai Sisters/Siddhi Vinayakam/Siddhi Vinayakam,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Akkarai Sisters at Arkay by Akkarai Sisters/Siddhi Vinayakam/Siddhi Vinayakam.mp3.mp3,Siddhi Vinayakam,16a3263f-31dc-40da-839b-f5955b77c0b6,shanmukhapriya,rupaka,Kriti,754991.0,json,Akkarai Sisters at Arkay by Akkarai Sisters,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_002_shanmukhapriya.mid
Akkarai Sisters at Arkay by Akkarai Sisters/Manadirkkugandhadu/Manadirkkugandhadu,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Akkarai Sisters at Arkay by Akkarai Sisters/Manadirkkugandhadu/Manadirkkugandhadu.mp3.mp3,Manadirkkugandhadu,9b5b7fe8-178c-4af3-bcb7-6964d4511752,sindhubhairavi,adi,Kriti,327000.0,json,Akkarai Sisters at Arkay by Akkarai Sisters,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_003_sindhubhairavi.mid
Akkarai Sisters at Arkay by Akkarai Sisters/Karunimpa Idi/Karunimpa Idi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Akkarai Sisters at Arkay by Akkarai Sisters/Karunimpa Idi/Karunimpa Idi.mp3.mp3,Karunimpa Idi,ac2a95e1-25fb-4aaf-bd6c-1c45581543cd,sahana,adi,Varnam - Tana Varnam,337815.0,json,Akkarai Sisters at Arkay by Akkarai Sisters,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_004_sahana.mid
Akkarai Sisters at Arkay by Akkarai Sisters/Apparama Bhakti/Apparama Bhakti,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Akkarai Sisters at Arkay by Akkarai Sisters/Apparama Bhakti/Apparama Bhakti.mp3.mp3,Apparama Bhakti,6c7f0f18-0ba6-471a-b641-0231ed4b7377,kamavardani,rupaka,Kriti,1608489.0,json,Akkarai Sisters at Arkay by Akkarai Sisters,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_005_kamavardani.mid
Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma/Shlokam - Shivah Shaktyayukto/Shlokam - Shivah Shaktyayukto,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma/Shlokam - Shivah Shaktyayukto/Shlokam - Shivah Shaktyayukto.mp3.mp3,Shlokam - Shivah Shaktyayukto,ac58786c-3938-4d93-9e9f-bbc3a56265fa,madyamavati,,Shloka,92000.0,json,Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_006_madyamavati.mid
Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma/Prathi Vaaram Vaaram/Prathi Vaaram Vaaram,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma/Prathi Vaaram Vaaram/Prathi Vaaram Vaaram.mp3.mp3,Prathi Vaaram Vaaram,7e1e3421-8735-4df8-8075-a6553f2588ed,padi,adi,Kriti,487000.0,json,Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_007_padi.mid
Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma/Karuna Nidhi Illalo/Karuna Nidhi Illalo,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma/Karuna Nidhi Illalo/Karuna Nidhi Illalo.mp3.mp3,Karuna Nidhi Illalo,99ef06f0-38cf-456c-9541-a8a04edaae5f,thodi,adi,Kriti,1642000.0,json,Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_008_thodi.mid
Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma/Rama Rama Guna Seema/Rama Rama Guna Seema,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma/Rama Rama Guna Seema/Rama Rama Guna Seema.mp3.mp3,Rama Rama Guna Seema,2badb85a-4f7c-4933-9910-ff01a3968d08,simhendra madhyamam,adi,Kriti,3608000.0,json,Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_009_simhendra_madhyamam.mid
