filepath_stem,audio_path,json_exists,title,mbid,raga,taal,form,length_ms,metadata_source,midi_path
Raag Bhoopali & Gavti by Omkar Dadarkar/Raag Gavti/Raag Gavti,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Bhoopali & Gavti by Omkar Dadarkar/Raag Gavti/Raag Gavti.mp3.mp3,True,Raag Gavti,e76e4ee3-bf5c-4d47-bb69-92b8d93035d8,Gawti,Rupak,Khayal,1645557,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_000_Gawti.mid
Raag Abhogi & Megh by Anol Chatterjee/Raag Abhogi/Raag Abhogi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Abhogi & Megh by Anol Chatterjee/Raag Abhogi/Raag Abhogi.mp3.mp3,True,Raag Abhogi,e40375a2-01d2-4137-823a-3e62503baf98,Abhogi,Ektaal,Khayal,1882697,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_001_Abhogi.mid
Subha Chale Sham Dhale by Ajoy Chakrabarty/Thumri in Piloo/Thumri in Piloo,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Subha Chale Sham Dhale by Ajoy Chakrabarty/Thumri in Piloo/Thumri in Piloo.mp3.mp3,True,Thumri in Piloo,6e377364-69ab-48fb-a90c-0661429cfdec,Mishra piloo,Jatt,Thumri,765257,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_002_Mishra_piloo.mid
Geetinandan : Part-3 by Ajoy Chakrabarty/Bairagi/Bairagi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Geetinandan : Part-3 by Ajoy Chakrabarty/Bairagi/Bairagi.mp3.mp3,True,Bairagi,b71c2774-2532-4692-8761-5452e2a83118,Bairagi,Ektaal,Khayal,899469,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_003_Bairagi.mid
Geetinandan : Part-3 by Ajoy Chakrabarty/Nat Bhairon/Nat Bhairon,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Geetinandan : Part-3 by Ajoy Chakrabarty/Nat Bhairon/Nat Bhairon.mp3.mp3,True,Nat Bhairon,6a2c841d-5a0e-4886-a5c0-f856fccbb938,Nat bhairav,Ektaal,Tarana,638360,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_004_Nat_bhairav.mid
Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Desh/Raag Desh,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Desh/Raag Desh.mp3.mp3,True,Raag Desh,62c7a9e6-e720-4cec-98cf-dda45c28bc0e,Des,,Khayal,386885,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_005_Des.mid
Raag Bhatiyar & Bhairavi Thumri by Kaustuv Kanti Ganguli/Raag Bhatiyar/Raag Bhatiyar,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Bhatiyar & Bhairavi Thumri by Kaustuv Kanti Ganguli/Raag Bhatiyar/Raag Bhatiyar.mp3.mp3,True,Raag Bhatiyar,01c69de7-7aea-4e54-bc2b-bdd7758c650c,Bhatiyar,Ektaal,Khayal,2278974,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_006_Bhatiyar.mid
Anaahata by Milind Malshe/Raag Khat Todi/Raag Khat Todi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Anaahata by Milind Malshe/Raag Khat Todi/Raag Khat Todi.mp3.mp3,True,Raag Khat Todi,b7e9ec27-9777-456c-b7b6-bcfe2936e5e7,Khat,,,1274801,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_007_Khat.mid
Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Marwa/Raag Marwa,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Marwa/Raag Marwa.mp3.mp3,True,Raag Marwa,dd875fec-377f-4565-98ca-cc9cf6397995,Marwa,,Khayal,392652,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_008_Marwa.mid
Raag Bhoopali & Gavti by Omkar Dadarkar/Raag Bhoopali/Raag Bhoopali,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Bhoopali & Gavti by Omkar Dadarkar/Raag Bhoopali/Raag Bhoopali.mp3.mp3,True,Raag Bhoopali,bfefde58-4eb2-49b0-9c63-7e4ce1070e61,Bhoop,Ektaal,Khayal,3346625,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_009_Bhoop.mid
Raag Kedar & Jog by Ajoy Chakrabarty/Raag Kedar/Raag Kedar,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Kedar & Jog by Ajoy Chakrabarty/Raag Kedar/Raag Kedar.mp3.mp3,True,Raag Kedar,dc09e696-88d1-427f-bb1b-92d899ed9af1,Kedar,Ektaal,Khayal,2727008,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_010_Kedar.mid
Raag Bhairav & Dhani by Kumar Gandharva/Raag Bhairav/Raag Bhairav,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Bhairav & Dhani by Kumar Gandharva/Raag Bhairav/Raag Bhairav.mp3.mp3,True,Raag Bhairav,0a11bf6f-b55d-459c-9447-7a5a555a286f,Bhairav,Ektaal,Khayal,1457632,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_011_Bhairav.mid
Geetinandan : Part-3 by Ajoy Chakrabarty/Todi/Todi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Geetinandan : Part-3 by Ajoy Chakrabarty/Todi/Todi.mp3.mp3,True,Todi,204008ee-89fe-44a4-a0c7-7bd7d64cf8a4,Todi,Jhoomra,Khayal,541467,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_012_Todi.mid
Anaahata by Milind Malshe/Raag Basanti Kedar/Raag Basanti Kedar,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Anaahata by Milind Malshe/Raag Basanti Kedar/Raag Basanti Kedar.mp3.mp3,True,Raag Basanti Kedar,8eaaeecc-159b-4537-993c-51e62219f88a,Basanti kedar,,,1001351,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_013_Basanti_kedar.mid
Geetinandan : Part-3 by Ajoy Chakrabarty/Sudh Sarang/Sudh Sarang,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Geetinandan : Part-3 by Ajoy Chakrabarty/Sudh Sarang/Sudh Sarang.mp3.mp3,True,Sudh Sarang,3a75a312-b119-41f8-8a5a-e799ebeed0cc,Shuddh sarang,Ektaal,Khayal,805479,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_014_Shuddh_sarang.mid
"Raag Kalyan, Bhimpalasi & Dhani by Satyasheel Deshpande/Raag Kalyan/Raag Kalyan","/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Kalyan, Bhimpalasi & Dhani by Satyasheel Deshpande/Raag Kalyan/Raag Kalyan.mp3.mp3",True,Raag Kalyan,ee7cec18-bc81-4b96-8778-9bda53c8c86e,Kalyan,Jhoomra,Khayal,2032000,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_015_Kalyan.mid
New Signature by Brajeshwar Mukherjee/Raag Saraswati/Raag Saraswati,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/New Signature by Brajeshwar Mukherjee/Raag Saraswati/Raag Saraswati.mp3.mp3,True,Raag Saraswati,52d71bd6-1d8b-4007-a027-5732adf68355,Saraswati,Teentaal,Khayal,790000,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_016_Saraswati.mid
Raag Jog & Kirwani Bhajan by Kaustuv Kanti Ganguli/Kirwani Bhajan/Kirwani Bhajan,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Jog & Kirwani Bhajan by Kaustuv Kanti Ganguli/Kirwani Bhajan/Kirwani Bhajan.mp3.mp3,True,Kirwani Bhajan,f89ad73c-88a0-4cb4-b8cc-e5241a77d8b9,Kirwani,Ektaal,Bhajan,603912,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_017_Kirwani.mid
Raag Mian Malhar & Ramdasi Malhar by Satyasheel Deshpande/Raag Ramdasi Malhar/Raag Ramdasi Malhar,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_hindustani/Raag Mian Malhar & Ramdasi Malhar by Satyasheel Deshpande/Raag Ramdasi Malhar/Raag Ramdasi Malhar.mp3.mp3,True,Raag Ramdasi Malhar,c2d94545-9d2f-4197-8902-c1a1bdcb72f8,Ramdasi malhar,Teentaal,Khayal,674462,json,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_018_Ramdasi_malhar.mid
