tune_id,setting_id,name,type,meter,mode,abc,date,username,composer,tunebooks,midi_path
27,27,Drowsy Maggie,reel,4/4,Edorian,"|:E2BE dEBE|E2BE AFDF|E2BE dEBE|BABc dAFD:|
d2fd c2ec|defg afge|d2fd c2ec|BABc dAFA|
d2fd c2ec|defg afge|afge fdec|BABc dAFD|",2001-05-21 03:47:39,Jeremy,,7811,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_000_27_reel.mid
1,1,Cooley's,reel,4/4,Edorian,"|:D2|EBBA B2 EB|B2 AB dBAG|FDAD BDAD|FDAD dAFD|
EBBA B2 EB|B2 AB defg|afec dBAF|DEFD E2:|
|:gf|eB B2 efge|eB B2 gedB|A2 FA DAFA|A2 FA defg|
eB B2 eBgB|eB B2 defg|afec dBAF|DEFD E2:|",2001-05-14 18:45:18,Jeremy,,6657,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_001_1_reel.mid
182,182,"Silver Spear, The",reel,4/4,Dmajor,"A|:FA (3AAA BAFA|dfed BddA|FA (3AAA BAFA|dfed (3BdB AG|
FA (3AAA BAFA|dfed Bdef|gage fgfe|1 dfed (3BdB AG:|2 dfed BdAd||
|:fa (3aaa bfaf|gfed Bdde|fa (3aaa bfaf|gfed (3BdB A2|
fa (3aaa bfaf|gfed Bdef|~g3 e ~f3 e|1 dfed BdAd:|2 dfed B2 AG||",2001-07-01 10:04:11,Will Harmon,,4910,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_002_182_reel.mid
64,64,"Maid Behind The Bar, The",reel,4/4,Dmajor,"|:FAAB AFED|FAAB ABde|fBBA Bcde|fBBA BcdA|
FAAB AFED|FAAB ABde|fBBA BcdB|AFEF D4:|
|:faab afde|fdad fd d2|efga beef|gebe gfeg|
fgaf bfaf|defd e2 de|fBBA BcdB|AFEF D4:|",2001-05-25 03:10:02,Jeremy,,4680,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_003_64_reel.mid
8,8,"Banshee, The",reel,4/4,Gmajor,"|:G2 GD EDEG|AGAB d2 Bd|eged BAGA|BAGE EDDE|
G2 GD EDEG|AGAB d2 Bd|eged BAGA|BAGE ED D2:|
|:ea a2 efgf|eBBA B2 Bd|eB B2 efgf|eBBA B2 Bd|
ea a2 efgf|eBBA B2 Bd|eged BAGA|BAGE EDD2:|",2001-05-18 03:41:53,Jeremy,James McMahon,4461,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_004_8_reel.mid
116,116,"Wind That Shakes The Barley, The",reel,4/4,Dmajor,"A2AB AFED|B2BA BcdB|A2AB AFED|gfed BcdB|
A2AB AFED|B2BA BcdB|A2AB AFED|gfed Bcde||
f2fd g2ge|f2fd Bcde|f2fd g2fg|afed Bcde|
f2fd g2ge|f2fd Bcde|defg a2ab|afed BcdB||",2001-05-25 04:24:57,Jeremy,,3944,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_005_116_reel.mid
248,248,Tam Lin,reel,4/4,Dminor,"|:A,2DA, FA,DA,|B,2DB, FB,DB,|C2EC GCEC|FEDC A,DDC|
A,2DA, FA,DA,|B,2DB, FB,DB,|C2EC GCEC|FEDC A,DD2:|
|:dA~A2 FADA|dA~A2 FADA|cG~G2 EG~G2|cG~G2 cdec|
dA~A2 FADA|dA~A2 FADA,|~B,3A, B,CDE|FDEC A,DD2:|",2001-08-23 10:16:02,Zina Lee,Davey Arthur,3743,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_006_248_reel.mid
73,73,"Musical Priest, The",reel,4/4,Bminor,"|:BA|FBBA B2Bd|cBAf ecBA|FBBA B2Bd|cBAc B2:|
|:Bc|d2dc dfed|(3cBA eA fAeA|dcBc defb|afec B2:|
Bc|dBB2 bafb|afec ABce|dB B2 bafb|afec B2Bc|
dB B2 bafb|afec ABce|dcBc defb|afec B2|",2001-05-25 03:27:06,Jeremy,,3540,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_007_73_reel.mid
42,42,"Gravel Walks, The",reel,4/4,Adorian,"|:A2 eA (3cBA eA|A2 eA BAGB|A2 eA (3Bcd ef|gedc BAGB:|
A2 aA gAfA|A2 eA BAGB|A2 aA gAfA|gedc BAGB|
A2 aA gAfA|A2 eA BAGB|ABcd efga|gedc BAGB|
|:(3cBA BG A2 AB|cAAd BAGB|(3cBA BG ABcd|efge dBGB:|
|:c2 gc acgc|c2 gc BAGB|c2 gc acga|gedc BAGB|
c2 gc acgc|c2 gc BAGB|ABcd efga|gedc BAGB:|",2001-05-21 04:23:59,Jeremy,,3123,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_008_42_reel.mid
98,98,"Sally Gardens, The",reel,4/4,Gmajor,"|:G2GA BAGB|dBeB dBAB|d2Bd efge|dBAB GEDE|
GFGA BAGB|d2eB dBAB|d2Bd efge|dBAB G4:|
|:dggf g2de|g2bg ageg|eaag a2eg|a2bg ageg|
dggf g2de|g2bg ageg|d2Bd efge|dBAB G4:|",2001-05-25 04:00:03,Jeremy,,3084,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_009_98_reel.mid
68,68,"Mountain Road, The",reel,4/4,Dmajor,"F2 AF BFAF|F2 AF EFDE|F2 AF BFAF|G2 FG EFDE|
F2 AF BFAF|F2 AF EFD2|FAA2 BAFA|BABd eddA|
d2dA BAFA|d2 de fgfe|d2 dA BAFA|G2 FG EDFA|
d2 dA BAFA|d2 de fgfe|d2 dA BAFA|G2 FG EFDE|",2001-05-25 03:14:15,Jeremy,Michael Gorman,2867,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_010_68_reel.mid
103,103,Saint Anne's,reel,4/4,Dmajor,"|:fedf edcB|A2FA DAFA|B2GB EBGB|A2FA DAFA|
fedf edcB|A2FA DAFA|BGed cABc|eddc d2 de:|
|:f2fg fedc|Bggf g2gf|edcB ABce|baa^g abag|
f2fg fedc|Bggf g2gf|edcB ABcd|eddc d2 de:|",2001-05-25 04:06:44,Jeremy,,2856,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_011_103_reel.mid
74,74,"Mason's Apron, The",reel,4/4,Amajor,"|:e2|aAA2 ABAF|EFAc dcBA|dBB2 BcBA|Bcde fefg|
aAA2 ABAF|EFAc dcBA|dcde fefa|A2 cB A2:|
|:ed|cAeA fAeA|cAeA fedc|dBfB aBfB|defg afed|
cAeA fAeA|EFAc dcBA|d2dc defa|A2 cB A2:|
|:ed|ceee feee|ceee fedc|dfff afff|dfff agfe|
ceee feee|EFAc dcBA|dcde fefa|A2 cB A2:|
|:e2|aeee aeee|aege feee|beee beee|beae gefg|
aeee aeee|aege feee|dcde fefa|A2 cB A2:|
|:ed|c2Ac eAce|AceA cecA|d2 Ad fAdf|AdfA dfed|
c2Ac eAce|AceA cecA|d2dc defa|A2 cB A2:|",2001-05-25 03:28:04,Jeremy,,2794,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_012_74_reel.mid
197,197,"Star Of Munster, The",reel,4/4,Adorian,"|:ed|c2Ac B2GB|AGEF GEDG|EAAB cBcd|eaaf gfed|
cBAc BAGB|AGEF GEDG|EAAB cded|cABG A2:|
|:de|eaab ageg|agbg agef|gfga gfef|gfaf gfdf|
eaab ageg|agbg agef|g2ge a2ga|bgaf ge:|",2001-07-17 23:10:46,Jeremy,,2618,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_013_197_reel.mid
20,20,"Cup Of Tea, The",reel,4/4,Edorian,"|:BAGF GEEF|GEBE GEEA|BAGF GEEG|FDAD FDDA|
BAGF GEEF|GEBE GEEA|B2 BA GABc|dBAG FD D2:|
K:D
|:d2 eg fdec|d2 eg fB B2|d2 eg fdec|dBAG FD D2|
d2 eg fdec|dfaf g2 fg|afge fdec|dBAG FD D2:|
|:FAdA FABA|FAdA FEE2|FAdA FABc|dBAG FD D2|
FAdA FABA|FAde fee2|fdec dBAF|GBAG FD D2:|",2001-05-21 03:39:15,Jeremy,,2581,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_014_20_reel.mid
