filename,makam,form,usul,title,composer,midi_path,processed_filename
rast--seyir--senginsemai--1--erol_bingol.mid,rast,seyir,senginsemai,1,erol bingol,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/rast--seyir--senginsemai--1--erol_bingol.mid,symbtr_000_rast_seyir.mid
neva--seyir--sofyan--1--sefik_gurmeric.mid,neva,seyir,sofyan,1,sefik gurmeric,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/neva--seyir--sofyan--1--sefik_gurmeric.mid,symbtr_001_neva_seyir.mid
sababuselik--kupe--aksak--bak_sabada--ahmet_avni_konuk.mid,sababuselik,kupe,aksak,bak sabada,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/sababuselik--kupe--aksak--bak_sabada--ahmet_avni_konuk.mid,symbtr_002_sababuselik_kupe.mid
rast--sarki--semai--gecsin_gunler--erol_sayan.mid,rast,sarki,semai,gecsin gunler,erol sayan,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/rast--sarki--semai--gecsin_gunler--erol_sayan.mid,symbtr_003_rast_sarki.mid
suzidilara--kupe--devrirevanihindi--mitriba_meclisde--ahmet_avni_konuk.mid,suzidilara,kupe,devrirevanihindi,mitriba meclisde,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/suzidilara--kupe--devrirevanihindi--mitriba_meclisde--ahmet_avni_konuk.mid,symbtr_004_suzidilara_kupe.mid
hicaz--turku--raksaksagi--entarisi_ala--istanbul.mid,hicaz,turku,raksaksagi,entarisi ala,istanbul,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicaz--turku--raksaksagi--entarisi_ala--istanbul.mid,symbtr_005_hicaz_turku.mid
rast--karsilama--ciftesofyan--tekirdag_karsilamasi--.mid,rast,karsilama,ciftesofyan,tekirdag karsilamasi,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/rast--karsilama--ciftesofyan--tekirdag_karsilamasi--.mid,symbtr_006_rast_karsilama.mid
hicaz_uzzal--seyir--senginsemai--1--erol_bingol.mid,hicaz_uzzal,seyir,senginsemai,1,erol bingol,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicaz_uzzal--seyir--senginsemai--1--erol_bingol.mid,symbtr_007_hicaz_uzzal_seyir.mid
mahur--sarki--sofyan--gordum_bugun--dede_efendi.mid,mahur,sarki,sofyan,gordum bugun,dede efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/mahur--sarki--sofyan--gordum_bugun--dede_efendi.mid,symbtr_008_mahur_sarki.mid
nisabur--kupe--musemmen--bezm-i--ahmet_avni_konuk.mid,nisabur,kupe,musemmen,bezm-i,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/nisabur--kupe--musemmen--bezm-i--ahmet_avni_konuk.mid,symbtr_009_nisabur_kupe.mid
huzi--turku--aksak--ayva_dibi--.mid,huzi,turku,aksak,ayva dibi,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/huzi--turku--aksak--ayva_dibi--.mid,symbtr_010_huzi_turku.mid
ussak--ilahi--sofyan--askinla_cak--haci_nafiz_bey.mid,ussak,ilahi,sofyan,askinla cak,haci nafiz bey,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/ussak--ilahi--sofyan--askinla_cak--haci_nafiz_bey.mid,symbtr_011_ussak_ilahi.mid
beyati--sarki--yuruksemai_ii--uzulme_bir--omer_sami_gupgup.mid,beyati,sarki,yuruksemai_ii,uzulme bir,omer sami gupgup,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/beyati--sarki--yuruksemai_ii--uzulme_bir--omer_sami_gupgup.mid,symbtr_012_beyati_sarki.mid
zirefkend--pesrev--darbifetih----gazi_giray_han.mid,zirefkend,pesrev,darbifetih,,gazi giray han,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/zirefkend--pesrev--darbifetih----gazi_giray_han.mid,symbtr_013_zirefkend_pesrev.mid
segah--sarki--murekkepnimsofyan--olursem_yaziktir--hayri_yenigun.mid,segah,sarki,murekkepnimsofyan,olursem yaziktir,hayri yenigun,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/segah--sarki--murekkepnimsofyan--olursem_yaziktir--hayri_yenigun.mid,symbtr_014_segah_sarki.mid
acembuselik--sarki--aksak--coktan_idim--kemenceci_usta_yani.mid,acembuselik,sarki,aksak,coktan idim,kemenceci usta yani,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/acembuselik--sarki--aksak--coktan_idim--kemenceci_usta_yani.mid,symbtr_015_acembuselik_sarki.mid
hicaz--rumeliturkusu--sofyan--gemi_kalkar--rumeli.mid,hicaz,rumeliturkusu,sofyan,gemi kalkar,rumeli,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicaz--rumeliturkusu--sofyan--gemi_kalkar--rumeli.mid,symbtr_016_hicaz_rumeliturkusu.mid
sevk_icedid--kupe--musemmen--kesme_mutrib--ahmet_avni_konuk.mid,sevk_icedid,kupe,musemmen,kesme mutrib,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/sevk_icedid--kupe--musemmen--kesme_mutrib--ahmet_avni_konuk.mid,symbtr_017_sevk_icedid_kupe.mid
evicbuselik--kupe--aksak--o_mah-i--ahmet_avni_konuk.mid,evicbuselik,kupe,aksak,o mah-i,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/evicbuselik--kupe--aksak--o_mah-i--ahmet_avni_konuk.mid,symbtr_018_evicbuselik_kupe.mid
mahur--sarki--aksak--alamam_dogrusu--serif_icli.mid,mahur,sarki,aksak,alamam dogrusu,serif icli,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/mahur--sarki--aksak--alamam_dogrusu--serif_icli.mid,symbtr_019_mahur_sarki.mid
neva_kurdi--kupe--musemmen--bir_usul--ahmet_avni_konuk.mid,neva_kurdi,kupe,musemmen,bir usul,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/neva_kurdi--kupe--musemmen--bir_usul--ahmet_avni_konuk.mid,symbtr_020_neva_kurdi_kupe.mid
hicazkar--pesrev--berefsan----gazi_giray_han.mid,hicazkar,pesrev,berefsan,,gazi giray han,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicazkar--pesrev--berefsan----gazi_giray_han.mid,symbtr_021_hicazkar_pesrev.mid
beyati--agirsemai--agir_aksaksemai--soylen_ol--bolahenk_nuri_bey.mid,beyati,agirsemai,agir_aksaksemai,soylen ol,bolahenk nuri bey,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/beyati--agirsemai--agir_aksaksemai--soylen_ol--bolahenk_nuri_bey.mid,symbtr_022_beyati_agirsemai.mid
hicazbuselik--kupe--aksak--pek_hararet--ahmet_avni_konuk.mid,hicazbuselik,kupe,aksak,pek hararet,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicazbuselik--kupe--aksak--pek_hararet--ahmet_avni_konuk.mid,symbtr_023_hicazbuselik_kupe.mid
mahur--agirsemai--aksaksemai--cihani_lal-i--itri.mid,mahur,agirsemai,aksaksemai,cihani lal-i,itri,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/mahur--agirsemai--aksaksemai--cihani_lal-i--itri.mid,symbtr_024_mahur_agirsemai.mid
rahatfeza--kupe--agirevfer--etse_agaze--ahmet_avni_konuk.mid,rahatfeza,kupe,agirevfer,etse agaze,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/rahatfeza--kupe--agirevfer--etse_agaze--ahmet_avni_konuk.mid,symbtr_025_rahatfeza_kupe.mid
tahir--turku--devrituran--asagidan_gelir--sivas.mid,tahir,turku,devrituran,asagidan gelir,sivas,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/tahir--turku--devrituran--asagidan_gelir--sivas.mid,symbtr_026_tahir_turku.mid
gerdaniye--turku--raksaksagi--penceresi_yesil--konya.mid,gerdaniye,turku,raksaksagi,penceresi yesil,konya,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/gerdaniye--turku--raksaksagi--penceresi_yesil--konya.mid,symbtr_027_gerdaniye_turku.mid
beyati--sazsemaisi--aksaksemai----nayi_osman_dede.mid,beyati,sazsemaisi,aksaksemai,,nayi osman dede,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/beyati--sazsemaisi--aksaksemai----nayi_osman_dede.mid,symbtr_028_beyati_sazsemaisi.mid
segah--aranagme--yuruksemai_ii--1--.mid,segah,aranagme,yuruksemai_ii,1,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/segah--aranagme--yuruksemai_ii--1--.mid,symbtr_029_segah_aranagme.mid
saba--aranagme--senginsemai--1--.mid,saba,aranagme,senginsemai,1,,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/saba--aranagme--senginsemai--1--.mid,symbtr_030_saba_aranagme.mid
rehavi--beste--remel--zannetme_ben--numan_aga.mid,rehavi,beste,remel,zannetme ben,numan aga,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/rehavi--beste--remel--zannetme_ben--numan_aga.mid,symbtr_031_rehavi_beste.mid
yegah--agirsemai--aksaksemai--piyale_elde--dellalzade_haci_ismail_efendi.mid,yegah,agirsemai,aksaksemai,piyale elde,dellalzade haci ismail efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/yegah--agirsemai--aksaksemai--piyale_elde--dellalzade_haci_ismail_efendi.mid,symbtr_032_yegah_agirsemai.mid
