path,duration_s,note_count,note_density,pitch_min,pitch_max,pitch_range,avg_pitch,avg_velocity,avg_note_dur_s,pc_entropy,n_instruments,filename,tradition
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_000_Shloka_Sri_Ramachandra_Shrita_.mid,27.35,99,3.62,46,73,27,59.1,64.0,0.331,2.7547,1,carnatic_000_Shloka_Sri_Ramachandra_Shrita_.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_001_Nera_Nammiti.mid,544.94,1951,3.58,37,78,41,60.5,61.8,0.239,2.7419,1,carnatic_001_Nera_Nammiti.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_002_shanmukhapriya.mid,749.91,3832,5.11,39,81,42,63.3,57.3,0.219,2.0348,1,carnatic_002_shanmukhapriya.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_003_sindhubhairavi.mid,324.79,1650,5.08,43,101,58,63.0,61.0,0.243,2.6858,1,carnatic_003_sindhubhairavi.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_004_sahana.mid,335.41,1759,5.244,43,81,38,62.8,58.6,0.222,2.3506,1,carnatic_004_sahana.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_005_kamavardani.mid,1597.68,6792,4.251,40,101,61,64.4,61.1,0.254,2.055,1,carnatic_005_kamavardani.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_006_madyamavati.mid,92.1,212,2.302,31,73,42,57.0,60.8,0.239,3.228,1,carnatic_006_madyamavati.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_007_padi.mid,484.29,1311,2.707,31,86,55,58.4,59.0,0.232,3.3348,1,carnatic_007_padi.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_008_thodi.mid,1631.65,3097,1.898,31,94,63,58.6,56.8,0.247,2.9287,1,carnatic_008_thodi.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_009_simhendra_madhyamam.mid,3584.05,4967,1.386,31,94,63,58.8,57.1,0.259,2.8896,1,carnatic_009_simhendra_madhyamam.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_010_manirangu.mid,380.45,925,2.431,41,86,45,54.6,56.2,0.249,2.9189,1,carnatic_010_manirangu.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_011_kalyani.mid,371.08,1103,2.972,42,93,51,57.5,57.9,0.233,3.2739,1,carnatic_011_kalyani.mid,carnatic
