path,duration_s,note_count,note_density,pitch_min,pitch_max,pitch_range,avg_pitch,avg_velocity,avg_note_dur_s,pc_entropy,n_instruments,filename,tradition
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_000_Gawti.mid,1634.48,8395,5.136,27,98,71,54.7,58.7,0.312,2.5863,1,hindustani_000_Gawti.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_001_Abhogi.mid,1870.02,12376,6.618,31,92,61,58.1,58.7,0.288,2.6899,1,hindustani_001_Abhogi.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_002_Mishra_piloo.mid,760.07,3359,4.419,38,93,55,59.2,62.4,0.253,3.1226,1,hindustani_002_Mishra_piloo.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_003_Bairagi.mid,892.58,4479,5.018,37,90,53,53.9,61.9,0.324,2.6436,1,hindustani_003_Bairagi.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_004_Nat_bhairav.mid,633.45,3401,5.369,37,93,56,53.8,60.8,0.295,2.9213,1,hindustani_004_Nat_bhairav.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_005_Des.mid,384.28,2172,5.652,26,100,74,64.2,51.7,0.503,2.9601,1,hindustani_005_Des.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_006_Bhatiyar.mid,2263.65,16529,7.302,38,89,51,57.1,56.8,0.311,2.7534,1,hindustani_006_Bhatiyar.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_007_Khat.mid,1265.11,6204,4.904,37,90,53,54.9,62.2,0.258,2.9521,1,hindustani_007_Khat.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_008_Marwa.mid,390.0,1015,2.603,38,89,51,53.4,67.3,0.71,2.9914,1,hindustani_008_Marwa.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_009_Bhoop.mid,3323.3,17214,5.18,27,98,71,54.2,60.4,0.334,2.454,1,hindustani_009_Bhoop.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_010_Kedar.mid,2708.71,11481,4.239,31,90,59,57.8,59.5,0.259,2.9456,1,hindustani_010_Kedar.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_011_Bhairav.mid,1447.61,6365,4.397,31,97,66,55.3,63.5,0.278,2.6686,1,hindustani_011_Bhairav.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_012_Todi.mid,537.28,2853,5.31,37,86,49,52.7,61.5,0.32,2.7584,1,hindustani_012_Todi.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_013_Basanti_kedar.mid,994.58,4088,4.11,37,94,57,59.8,51.0,0.339,2.7818,1,hindustani_013_Basanti_kedar.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_014_Shuddh_sarang.mid,799.29,4096,5.125,37,94,57,53.6,59.2,0.337,2.6974,1,hindustani_014_Shuddh_sarang.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_015_Kalyan.mid,2018.26,11787,5.84,31,93,62,54.2,56.7,0.316,2.855,1,hindustani_015_Kalyan.mid,hindustani
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/hindustani/midi/hindustani_016_Saraswati.mid,784.7,4958,6.318,38,97,59,56.0,56.3,0.268,2.8535,1,hindustani_016_Saraswati.mid,hindustani
