path,duration_s,note_count,note_density,pitch_min,pitch_max,pitch_range,avg_pitch,avg_velocity,avg_note_dur_s,pc_entropy,n_instruments,filename,tune_id,tradition
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_000_27_reel.mid,32.0,116,3.625,62,81,19,71.0,90.0,0.276,2.664,1,irish_000_27_reel.mid,27.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_001_1_reel.mid,64.0,230,3.594,62,81,19,70.6,90.0,0.278,2.5928,1,irish_001_1_reel.mid,1.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_002_182_reel.mid,64.25,263,4.093,66,83,17,74.5,90.0,0.244,2.4381,1,irish_002_182_reel.mid,182.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_003_64_reel.mid,64.0,240,3.75,62,83,21,72.9,90.0,0.267,2.5851,1,irish_003_64_reel.mid,64.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_004_8_reel.mid,64.0,232,3.625,62,81,19,70.8,90.0,0.276,2.4866,1,irish_004_8_reel.mid,8.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_005_116_reel.mid,32.0,113,3.531,62,83,21,73.2,90.0,0.283,2.723,1,irish_005_116_reel.mid,116.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_006_248_reel.mid,64.0,222,3.469,57,76,19,63.6,90.0,0.288,2.6416,1,irish_006_248_reel.mid,248.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_007_73_reel.mid,48.0,179,3.729,66,83,17,73.7,90.0,0.268,2.4723,1,irish_007_73_reel.mid,73.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_008_42_reel.mid,80.0,305,3.812,67,81,14,72.6,90.0,0.262,2.5749,1,irish_008_42_reel.mid,42.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_009_98_reel.mid,64.0,222,3.469,62,83,21,74.3,90.0,0.288,2.455,1,irish_009_98_reel.mid,98.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_010_68_reel.mid,32.0,112,3.5,62,79,17,69.1,90.0,0.286,2.4045,1,irish_010_68_reel.mid,68.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_011_103_reel.mid,64.0,236,3.688,62,83,21,73.6,90.0,0.271,2.8291,1,irish_011_103_reel.mid,103.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_012_74_reel.mid,160.0,600,3.75,64,83,19,74.2,90.0,0.267,2.5578,1,irish_012_74_reel.mid,74.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_013_197_reel.mid,64.0,246,3.844,62,83,21,74.7,90.0,0.26,2.6548,1,irish_013_197_reel.mid,197.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_014_20_reel.mid,96.0,356,3.708,62,81,19,70.0,90.0,0.27,2.6984,1,irish_014_20_reel.mid,20.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_015_72_reel.mid,64.0,234,3.656,62,83,21,73.0,90.0,0.274,2.5937,1,irish_015_72_reel.mid,72.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_016_208_reel.mid,64.0,242,3.781,67,83,16,75.0,90.0,0.264,2.5749,1,irish_016_208_reel.mid,208.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_017_113_reel.mid,32.0,119,3.719,64,83,19,73.1,90.0,0.269,2.3588,1,irish_017_113_reel.mid,113.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_018_2_reel.mid,80.0,288,3.6,62,83,21,73.4,90.0,0.278,2.3483,1,irish_018_2_reel.mid,2.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_019_69_reel.mid,64.0,228,3.562,62,79,17,69.1,90.0,0.281,2.6131,1,irish_019_69_reel.mid,69.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_020_118_reel.mid,64.0,242,3.781,62,81,19,70.3,90.0,0.264,2.6384,1,irish_020_118_reel.mid,118.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_021_75_reel.mid,64.0,224,3.5,67,81,14,72.9,90.0,0.286,2.6622,1,irish_021_75_reel.mid,75.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_022_221_reel.mid,64.0,238,3.719,62,83,21,71.8,90.0,0.267,2.5364,1,irish_022_221_reel.mid,221.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_023_517_reel.mid,96.0,352,3.667,62,81,19,69.8,90.0,0.273,2.5309,1,irish_023_517_reel.mid,517.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_024_589_reel.mid,32.0,114,3.562,62,81,19,72.3,90.0,0.281,2.5576,1,irish_024_589_reel.mid,589.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_025_141_reel.mid,32.0,116,3.625,62,74,12,68.4,90.0,0.276,2.6083,1,irish_025_141_reel.mid,141.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_026_511_reel.mid,80.0,298,3.725,62,81,19,71.1,90.0,0.268,2.3829,1,irish_026_511_reel.mid,511.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_027_727_reel.mid,64.0,258,4.031,67,81,14,71.6,90.0,0.261,2.1877,1,irish_027_727_reel.mid,727.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_028_21_reel.mid,32.0,114,3.562,64,83,19,71.8,90.0,0.281,2.5627,1,irish_028_21_reel.mid,21.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_029_33_reel.mid,128.0,446,3.484,55,83,28,72.4,90.0,0.287,2.6496,1,irish_029_33_reel.mid,33.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_030_636_reel.mid,64.25,254,3.953,64,83,19,73.6,90.0,0.253,2.4573,1,irish_030_636_reel.mid,636.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_031_462_reel.mid,96.0,308,3.208,62,79,17,71.6,90.4,0.312,2.6125,1,irish_031_462_reel.mid,462.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_032_543_reel.mid,96.0,358,3.729,57,83,26,72.1,90.0,0.265,2.6262,1,irish_032_543_reel.mid,543.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_033_560_reel.mid,95.5,376,3.937,62,83,21,70.7,90.0,0.254,2.6534,1,irish_033_560_reel.mid,560.0,irish_folk
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/irish_folk/midi/irish_034_518_reel.mid,96.25,336,3.491,62,78,16,70.3,90.0,0.286,2.3446,1,irish_034_518_reel.mid,518.0,irish_folk
