path,duration_s,note_count,note_density,pitch_min,pitch_max,pitch_range,avg_pitch,avg_velocity,avg_note_dur_s,pc_entropy,n_instruments,filename,tradition
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/western_classical/midi/2004_MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_09_Track09_wav.midi,259.99,3006,11.562,21,106,85,67.5,61.0,0.13,3.5452,1,2004_MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_09_Track09_wav.midi,western_classical
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/western_classical/midi/2004_MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_02_Track02_wav.midi,832.41,7963,9.566,21,106,85,61.9,70.0,0.204,3.2759,1,2004_MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_02_Track02_wav.midi,western_classical
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/western_classical/midi/2004_MIDI-Unprocessed_SMF_16_R1_2004_01-08_ORIG_MID--AUDIO_16_R1_2004_05_Track05_wav.midi,295.25,1620,5.487,28,104,76,66.1,58.6,0.404,3.2738,1,2004_MIDI-Unprocessed_SMF_16_R1_2004_01-08_ORIG_MID--AUDIO_16_R1_2004_05_Track05_wav.midi,western_classical
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/western_classical/midi/2004_MIDI-Unprocessed_SMF_17_R1_2004_01-03_ORIG_MID--AUDIO_17_R1_2004_06_Track06_wav.midi,545.07,5017,9.204,26,101,75,65.0,59.7,0.2,3.4453,1,2004_MIDI-Unprocessed_SMF_17_R1_2004_01-03_ORIG_MID--AUDIO_17_R1_2004_06_Track06_wav.midi,western_classical
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/western_classical/midi/2004_MIDI-Unprocessed_SMF_22_R1_2004_01-04_ORIG_MID--AUDIO_22_R1_2004_03_Track03_wav.midi,792.49,5239,6.611,38,84,46,64.4,60.6,0.308,3.0665,1,2004_MIDI-Unprocessed_SMF_22_R1_2004_01-04_ORIG_MID--AUDIO_22_R1_2004_03_Track03_wav.midi,western_classical
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/western_classical/midi/2004_MIDI-Unprocessed_XP_06_R1_2004_01_ORIG_MID--AUDIO_06_R1_2004_01_Track01_wav.midi,2398.88,18833,7.851,24,101,77,60.8,61.8,0.308,3.5687,1,2004_MIDI-Unprocessed_XP_06_R1_2004_01_ORIG_MID--AUDIO_06_R1_2004_01_Track01_wav.midi,western_classical
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/western_classical/midi/2004_MIDI-Unprocessed_XP_06_R2_2004_01_ORIG_MID--AUDIO_06_R2_2004_01_Track01_wav.midi,692.64,6610,9.543,29,97,68,60.4,60.9,0.228,3.4161,1,2004_MIDI-Unprocessed_XP_06_R2_2004_01_ORIG_MID--AUDIO_06_R2_2004_01_Track01_wav.midi,western_classical
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/western_classical/midi/2004_MIDI-Unprocessed_XP_08_R1_2004_04-06_ORIG_MID--AUDIO_08_R1_2004_04_Track04_wav.midi,169.12,3301,19.519,21,103,82,63.8,72.4,0.107,3.26,1,2004_MIDI-Unprocessed_XP_08_R1_2004_04-06_ORIG_MID--AUDIO_08_R1_2004_04_Track04_wav.midi,western_classical
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/western_classical/midi/2004_MIDI-Unprocessed_XP_09_R1_2004_01-02_ORIG_MID--AUDIO_09_R1_2004_02_Track02_wav.midi,316.87,2638,8.325,29,96,67,64.1,60.8,0.256,3.2279,1,2004_MIDI-Unprocessed_XP_09_R1_2004_01-02_ORIG_MID--AUDIO_09_R1_2004_02_Track02_wav.midi,western_classical
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/western_classical/midi/2004_MIDI-Unprocessed_XP_14_R2_2004_01_ORIG_MID--AUDIO_14_R2_2004_01_Track01_wav.midi,902.3,7759,8.599,29,103,74,63.2,53.4,0.271,3.469,1,2004_MIDI-Unprocessed_XP_14_R2_2004_01_ORIG_MID--AUDIO_14_R2_2004_01_Track01_wav.midi,western_classical
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/western_classical/midi/2004_MIDI-Unprocessed_XP_15_R2_2004_01_ORIG_MID--AUDIO_15_R2_2004_03_Track03_wav.midi,351.62,4352,12.377,31,91,60,62.7,63.6,0.188,3.4209,1,2004_MIDI-Unprocessed_XP_15_R2_2004_01_ORIG_MID--AUDIO_15_R2_2004_03_Track03_wav.midi,western_classical
