path,duration_s,note_count,note_density,pitch_min,pitch_max,pitch_range,avg_pitch,avg_velocity,avg_note_dur_s,pc_entropy,n_instruments,filename,makam,tradition
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_000_rast_seyir.mid,47.9,85,1.775,62,81,19,71.9,96.0,0.536,2.8305,1,symbtr_000_rast_seyir.mid,rast,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_001_neva_seyir.mid,79.9,120,1.502,67,84,17,75.4,96.0,0.633,2.8438,1,symbtr_001_neva_seyir.mid,neva,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_002_sababuselik_kupe.mid,71.85,99,1.378,68,80,12,72.7,96.0,0.707,2.8022,1,symbtr_002_sababuselik_kupe.mid,sababuselik,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_003_rast_sarki.mid,273.45,418,1.529,62,79,17,71.0,96.0,0.625,2.8265,1,symbtr_003_rast_sarki.mid,rast,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_004_suzidilara_kupe.mid,65.8,115,1.748,66,79,13,71.2,96.0,0.558,2.8159,1,symbtr_004_suzidilara_kupe.mid,suzidilara,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_005_hicaz_turku.mid,151.5,420,2.772,69,77,8,72.8,96.0,0.344,2.4929,1,symbtr_005_hicaz_turku.mid,hicaz,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_006_rast_karsilama.mid,59.93,197,3.287,67,84,17,74.1,96.0,0.289,2.9492,1,symbtr_006_rast_karsilama.mid,rast,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_007_hicaz_uzzal_seyir.mid,43.55,50,1.148,69,83,14,75.6,96.0,0.829,2.9157,1,symbtr_007_hicaz_uzzal_seyir.mid,hicaz,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_008_mahur_sarki.mid,0.0,0,0.0,0,0,0,0.0,0.0,0.0,-0.0,0,symbtr_008_mahur_sarki.mid,mahur,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_009_nisabur_kupe.mid,39.91,70,1.754,69,81,12,74.9,96.0,0.551,2.7077,1,symbtr_009_nisabur_kupe.mid,nisabur,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_010_huzi_turku.mid,99.95,264,2.641,69,79,10,73.8,96.0,0.364,2.4949,1,symbtr_010_huzi_turku.mid,huzi,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_011_ussak_ilahi.mid,59.99,120,2.0,67,81,14,72.7,96.0,0.486,2.6861,1,symbtr_011_ussak_ilahi.mid,ussak,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_012_beyati_sarki.mid,115.14,238,2.067,69,84,15,75.7,96.0,0.464,2.971,1,symbtr_012_beyati_sarki.mid,beyati,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_013_zirefkend_pesrev.mid,146.5,196,1.338,62,86,24,77.2,96.0,0.709,2.9876,1,symbtr_013_zirefkend_pesrev.mid,zirefkend,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_014_segah_sarki.mid,167.92,355,2.114,67,84,17,75.9,95.3,0.441,3.1031,1,symbtr_014_segah_sarki.mid,segah,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_015_acembuselik_sarki.mid,81.36,203,2.495,67,86,19,76.3,96.0,0.385,3.1459,1,symbtr_015_acembuselik_sarki.mid,acembuselik,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_016_hicaz_rumeliturkusu.mid,123.0,352,2.862,67,77,10,72.8,96.0,0.334,2.4256,1,symbtr_016_hicaz_rumeliturkusu.mid,hicaz,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_017_sevk_icedid_kupe.mid,39.95,85,2.128,67,84,17,76.0,96.0,0.457,3.1024,1,symbtr_017_sevk_icedid_kupe.mid,sevk,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_018_evicbuselik_kupe.mid,71.85,97,1.35,68,84,16,75.7,96.0,0.721,3.0852,1,symbtr_018_evicbuselik_kupe.mid,evicbuselik,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_019_mahur_sarki.mid,155.24,520,3.35,64,84,20,75.7,89.5,0.286,2.93,1,symbtr_019_mahur_sarki.mid,mahur,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_020_neva_kurdi_kupe.mid,39.91,81,2.03,67,81,14,75.1,96.0,0.478,2.9067,1,symbtr_020_neva_kurdi_kupe.mid,neva,turkish_makam
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/turkish_makam/midi/symbtr_021_hicazkar_pesrev.mid,651.42,1203,1.847,62,82,20,73.2,96.0,0.502,3.029,1,symbtr_021_hicazkar_pesrev.mid,hicazkar,turkish_makam
