tradition,label,file,seq_len,n_pitch_tokens,n_velocity_tokens,n_duration_tokens,n_position_tokens,n_bar_tokens,unique_pitches,unique_token_ids
western_classical,Western Classical,2004_MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_09_Track09_wav.midi,11143,3006,3006,3006,1995,130,83,175
western_classical,Western Classical,2004_MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_02_Track02_wav.midi,28562,7963,7963,7963,4262,411,81,184
western_classical,Western Classical,2004_MIDI-Unprocessed_SMF_16_R1_2004_01-08_ORIG_MID--AUDIO_16_R1_2004_05_Track05_wav.midi,6092,1620,1620,1620,1084,148,66,156
western_classical,Western Classical,2004_MIDI-Unprocessed_SMF_17_R1_2004_01-03_ORIG_MID--AUDIO_17_R1_2004_06_Track06_wav.midi,18511,5017,5017,5017,3190,270,75,173
western_classical,Western Classical,2004_MIDI-Unprocessed_SMF_22_R1_2004_01-04_ORIG_MID--AUDIO_22_R1_2004_03_Track03_wav.midi,19847,5239,5239,5239,3735,395,43,152
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_06_R1_2004_01_ORIG_MID--AUDIO_06_R1_2004_01_Track01_wav.midi,69118,18833,18833,18833,11421,1198,78,202
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_06_R2_2004_01_ORIG_MID--AUDIO_06_R2_2004_01_Track01_wav.midi,24189,6610,6610,6610,4013,346,69,160
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_08_R1_2004_04-06_ORIG_MID--AUDIO_08_R1_2004_04_Track04_wav.midi,11649,3301,3301,3301,1662,84,81,159
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_09_R1_2004_01-02_ORIG_MID--AUDIO_09_R1_2004_02_Track02_wav.midi,9699,2638,2638,2638,1626,159,64,160
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_14_R2_2004_01_ORIG_MID--AUDIO_14_R2_2004_01_Track01_wav.midi,28220,7759,7759,7759,4493,450,71,178
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_15_R2_2004_01_ORIG_MID--AUDIO_15_R2_2004_03_Track03_wav.midi,14973,4352,4352,4352,1742,175,59,135
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_15_R2_2004_01_ORIG_MID--AUDIO_15_R2_2004_04_Track04_wav.midi,20172,5596,5596,5596,3163,221,65,144
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_18_R1_2004_01-02_ORIG_MID--AUDIO_18_R1_2004_04_Track04_wav.midi,6995,1982,1982,1982,978,71,71,142
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_20_R2_2004_01_ORIG_MID--AUDIO_20_R1_2004_03_Track03_wav.midi,32912,9263,9263,9263,4781,342,68,161
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_21_R1_2004_01_ORIG_MID--AUDIO_21_R1_2004_01_Track01_wav.midi,23138,6316,6316,6316,3754,436,78,186
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_21_R1_2004_02_ORIG_MID--AUDIO_21_R1_2004_03_Track03_wav.midi,22775,6007,6007,6007,4363,391,61,168
western_classical,Western Classical,2006_MIDI-Unprocessed_01_R2_2006_01_ORIG_MID--AUDIO_01_R2_2006_01_Track01_wav.midi,22191,6132,6132,6132,3465,330,68,167
western_classical,Western Classical,2006_MIDI-Unprocessed_07_R1_2006_01-04_ORIG_MID--AUDIO_07_R1_2006_01_Track01_wav.midi,29218,8130,8130,8130,4410,418,81,189
western_classical,Western Classical,2006_MIDI-Unprocessed_07_R2_2006_01_ORIG_MID--AUDIO_07_R2_2006_04_Track04_wav.midi,26417,7045,7045,7045,4957,325,71,161
western_classical,Western Classical,2006_MIDI-Unprocessed_09_R1_2006_01-04_ORIG_MID--AUDIO_09_R1_2006_02_Track02_wav.midi,44518,12609,12609,12609,6193,498,83,195
western_classical,Western Classical,2006_MIDI-Unprocessed_10_R1_2006_01-04_ORIG_MID--AUDIO_10_R1_2006_02_Track02_wav.midi,34002,9177,9177,9177,5768,703,63,177
western_classical,Western Classical,2006_MIDI-Unprocessed_11_R1_2006_01-06_ORIG_MID--AUDIO_11_R1_2006_04_Track04_wav.midi,21707,5845,5845,5845,3922,250,68,174
western_classical,Western Classical,2006_MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_08_Track08_wav.midi,8739,2423,2423,2423,1412,58,70,139
western_classical,Western Classical,2006_MIDI-Unprocessed_14_R1_2006_01-05_ORIG_MID--AUDIO_14_R1_2006_01_Track01_wav.midi,71260,20138,20138,20138,10035,811,75,189
western_classical,Western Classical,2006_MIDI-Unprocessed_16_R2_2006_01_ORIG_MID--AUDIO_16_R2_2006_02_Track02_wav.midi,8776,2282,2282,2282,1635,295,59,175
western_classical,Western Classical,2006_MIDI-Unprocessed_18_R1_2006_01-05_ORIG_MID--AUDIO_18_R1_2006_05_Track05_wav.midi,56210,15841,15841,15841,7682,1005,81,204
western_classical,Western Classical,2006_MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_01_Track01_wav.midi,5058,1302,1302,1302,1009,143,44,148
western_classical,Western Classical,2006_MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_04_Track04_wav.midi,19182,5392,5392,5392,2730,276,75,182
western_classical,Western Classical,2006_MIDI-Unprocessed_22_R2_2006_01_ORIG_MID--AUDIO_22_R2_2006_04_Track04_wav.midi,13954,3845,3845,3845,2264,155,68,148
western_classical,Western Classical,2006_MIDI-Unprocessed_23_R2_2006_01_ORIG_MID--AUDIO_23_R2_2006_01_Track01_wav.midi,18960,5325,5325,5325,2656,329,69,168
western_classical,Western Classical,2008_MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--1.midi,8821,2326,2326,2326,1673,170,45,152
western_classical,Western Classical,2008_MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,15258,4206,4206,4206,2263,377,74,190
western_classical,Western Classical,2008_MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--5.midi,15192,4243,4243,4243,2349,114,71,151
western_classical,Western Classical,2008_MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--5.midi,10348,2809,2809,2809,1811,110,79,164
western_classical,Western Classical,2008_MIDI-Unprocessed_08_R2_2008_01-04_ORIG_MID--AUDIO_08_R2_2008_wav--2.midi,10271,2607,2607,2607,2269,181,49,153
western_classical,Western Classical,2008_MIDI-Unprocessed_08_R2_2008_01-04_ORIG_MID--AUDIO_08_R2_2008_wav--4.midi,16840,4738,4738,4738,2495,131,72,150
western_classical,Western Classical,2008_MIDI-Unprocessed_08_R3_2008_01-05_ORIG_MID--AUDIO_08_R3_2008_wav--2.midi,41862,11946,11946,11946,5649,375,80,183
western_classical,Western Classical,2008_MIDI-Unprocessed_11_R1_2008_01-04_ORIG_MID--AUDIO_11_R1_2008_wav--1.midi,7201,1901,1901,1901,1333,165,48,148
western_classical,Western Classical,2008_MIDI-Unprocessed_11_R3_2008_01-04_ORIG_MID--AUDIO_11_R3_2008_wav--4.midi,34439,9502,9502,9502,5524,409,79,190
western_classical,Western Classical,2008_MIDI-Unprocessed_12_R3_2008_01-04_ORIG_MID--AUDIO_12_R3_2008_wav--1.midi,26386,7185,7185,7185,4521,310,68,167
western_classical,Western Classical,2008_MIDI-Unprocessed_12_R3_2008_01-04_ORIG_MID--AUDIO_12_R3_2008_wav--2.midi,21727,5963,5963,5963,3531,307,77,187
western_classical,Western Classical,2008_MIDI-Unprocessed_14_R1_2008_01-05_ORIG_MID--AUDIO_14_R1_2008_wav--2.midi,13953,3795,3795,3795,2434,134,52,134
